Simulation,Method,Area,Time
19,Antithetic Orthogonal Sampling,1.521729562327823,0.2088918685913086
20,Random Sampling,1.5247799999999998,1.2524170875549316
20,Antithetic Random Sampling,1.53171,0.23784494400024414
20,LHS,1.519902,1.2927460670471191
20,Antithetic Latin Sampling,1.520226,1.2614758014678955
20,Orthogonal Sampling,1.521891,0.5340127944946289
20,Antithetic Orthogonal Sampling,1.521963633017171,0.21160483360290527
21,Random Sampling,1.519677,1.2533290386199951
21,Antithetic Random Sampling,1.519902,0.23278117179870605
21,LHS,1.519029,1.2936489582061768
21,Antithetic Latin Sampling,1.5246179999999998,1.2584869861602783
21,Orthogonal Sampling,1.521729,0.4954407215118408
21,Antithetic Orthogonal Sampling,1.5219816384548133,0.21114206314086914
22,Random Sampling,1.524636,1.2488510608673096
22,Antithetic Random Sampling,1.523718,0.23317193984985352
22,LHS,1.5195329999999998,1.2954092025756836
22,Antithetic Latin Sampling,1.52658,1.2611100673675537
22,Orthogonal Sampling,1.521531,0.49350881576538086
22,Antithetic Orthogonal Sampling,1.5227558722734267,0.21042919158935547
23,Random Sampling,1.5204330000000001,1.2586617469787598
23,Antithetic Random Sampling,1.523358,0.23543596267700195
23,LHS,1.522494,1.2872459888458252
23,Antithetic Latin Sampling,1.521576,1.2594733238220215
23,Orthogonal Sampling,1.52244,0.49210381507873535
23,Antithetic Orthogonal Sampling,1.5217835786407496,0.20741033554077148
24,Random Sampling,1.5136020000000001,1.2501356601715088
24,Antithetic Random Sampling,1.5221339999999999,0.2346947193145752
24,LHS,1.5184259999999998,1.293463945388794
24,Antithetic Latin Sampling,1.522404,1.2568299770355225
24,Orthogonal Sampling,1.5217110000000003,0.5035970211029053
24,Antithetic Orthogonal Sampling,1.5221796982688773,0.2108440399169922
25,Random Sampling,1.519911,1.2645020484924316
25,Antithetic Random Sampling,1.5217200000000002,0.2315990924835205
25,LHS,1.520442,1.2972311973571777
25,Antithetic Latin Sampling,1.5222959999999999,1.263491153717041
